Bird,Song,Block,Time,Played
CB1,LB-,1,6:30 AM,0
CB1,BDY,1,8:00 AM,0
CB1,BOD,1,9:30 AM,0
CB1,LB,1,11:00 AM,0
CB1,ND,1,12:30 PM,0
CB1,BDY-,1,2:00 PM,0
CB1,BDY-,2,3:30 PM,0
CB1,LB,2,5:00 PM,0
CB1,BDY,2,6:30 AM,0
CB1,BOD,2,8:00 AM,0
CB1,ND,2,9:30 AM,0
CB1,LB-,2,11:00 AM,0
CB1,ND,3,12:30 PM,0
CB1,LB-,3,2:00 PM,0
CB1,BDY,3,3:30 PM,0
CB1,BDY-,3,5:00 PM,0
CB1,BOD,3,6:30 AM,0
CB1,LB,3,8:00 AM,0
CB1,ND,4,9:30 AM,0
CB1,LB-,4,11:00 AM,0
CB1,BDY-,4,12:30 PM,0
CB1,BOD,4,2:00 PM,0
CB1,LB,4,3:30 PM,0
CB1,BDY,4,5:00 PM,0
CB1,LB-,5,6:30 AM,0
CB1,BOD,5,8:00 AM,0
CB1,ND,5,9:30 AM,0
CB1,BDY-,5,11:00 AM,0
CB1,BDY,5,12:30 PM,0
CB1,LB,5,2:00 PM,0
CB1,LB,6,3:30 PM,0
CB1,LB-,6,5:00 PM,0
CB1,BOD,6,6:30 AM,0
CB1,BDY-,6,8:00 AM,0
CB1,BDY,6,9:30 AM,0
CB1,ND,6,11:00 AM,0
CB1,ND,7,12:30 PM,0
CB1,BDY-,7,2:00 PM,0
CB1,LB-,7,3:30 PM,0
CB1,BDY,7,5:00 PM,0
CB1,BOD,7,6:30 AM,0
CB1,LB,7,8:00 AM,0
CB1,LB,8,9:30 AM,0
CB1,ND,8,11:00 AM,0
CB1,BDY-,8,12:30 PM,0
CB1,BDY,8,2:00 PM,0
CB1,BOD,8,3:30 PM,0
CB1,LB-,8,5:00 PM,0
CB1,LB,9,6:30 AM,0
CB1,ND,9,8:00 AM,0
CB1,BDY-,9,9:30 AM,0
CB1,LB-,9,11:00 AM,0
CB1,BOD,9,12:30 PM,0
CB1,BDY,9,2:00 PM,0
CB1,LB-,10,3:30 PM,0
CB1,BDY,10,5:00 PM,0
CB1,BOD,10,6:30 AM,0
CB1,BDY-,10,8:00 AM,0
CB1,ND,10,9:30 AM,0
CB1,LB,10,11:00 AM,0
CB1,BDY,11,12:30 PM,0
CB1,LB,11,2:00 PM,0
CB1,ND,11,3:30 PM,0
CB1,LB-,11,5:00 PM,0
CB1,BOD,11,6:30 AM,0
CB1,BDY-,11,8:00 AM,0
CB1,BDY,12,9:30 AM,0
CB1,LB-,12,11:00 AM,0
CB1,BDY-,12,12:30 PM,0
CB1,LB,12,2:00 PM,0
CB1,ND,12,3:30 PM,0
CB1,BOD,12,5:00 PM,0
CB1,ND,13,6:30 AM,0
CB1,BDY-,13,8:00 AM,0
CB1,LB-,13,9:30 AM,0
CB1,LB,13,11:00 AM,0
CB1,BDY,13,12:30 PM,0
CB1,BOD,13,2:00 PM,0
CB1,BOD,14,3:30 PM,0
CB1,ND,14,5:00 PM,0
CB1,BDY,14,6:30 AM,0
CB1,LB-,14,8:00 AM,0
CB1,LB,14,9:30 AM,0
CB1,BDY-,14,11:00 AM,0
CB1,BDY-,15,12:30 PM,0
CB1,ND,15,2:00 PM,0
CB1,BDY,15,3:30 PM,0
CB1,LB,15,5:00 PM,0
CB1,BOD,15,6:30 AM,0
CB1,LB-,15,8:00 AM,0
CB1,BOD,16,9:30 AM,0
CB1,ND,16,11:00 AM,0
CB1,BDY-,16,12:30 PM,0
CB1,LB-,16,2:00 PM,0
CB1,BDY,16,3:30 PM,0
CB1,LB,16,5:00 PM,0
