Bird,Song,Block,Ideal Time,Played
CB0,2M,1,6:30 AM,0
CB0,BDY,1,8:00 AM,0
CB0,LB,1,3:30 PM,0
CB0,LNR,1,5:00 PM,0
CB0,DBR,1,11:00 AM,0
CB0,GRG,1,2:00 PM,0
CB0,DMG,1,12:30 PM,0
CB0,WG,1,8:00 AM,0
CB0,BOD,1,9:30 AM,0
CB0,ND,1,6:30 AM,0
CB0,WG,2,11:00 AM,0
CB0,DBR,2,2:00 PM,0
CB0,BDY,2,11:00 AM,0
CB0,DMG,2,3:30 PM,0
CB0,GRG,2,5:00 PM,0
CB0,LB,2,6:30 AM,0
CB0,BOD,2,12:30 PM,0
CB0,ND,2,9:30 AM,0
CB0,LNR,2,8:00 AM,0
CB0,2M,2,9:30 AM,0
CB0,WG,3,2:00 PM,0
CB0,BDY,3,2:00 PM,0
CB0,LB,3,9:30 AM,0
CB0,BOD,3,3:30 PM,0
CB0,DMG,3,6:30 AM,0
CB0,2M,3,12:30 PM,0
CB0,GRG,3,8:00 AM,0
CB0,LNR,3,11:00 AM,0
CB0,DBR,3,5:00 PM,0
CB0,ND,3,12:30 PM,0
CB0,ND,4,3:30 PM,0
CB0,BDY,4,5:00 PM,0
CB0,BOD,4,6:30 AM,0
CB0,WG,4,5:00 PM,0
CB0,2M,4,3:30 PM,0
CB0,GRG,4,11:00 AM,0
CB0,LB,4,12:30 PM,0
CB0,LNR,4,2:00 PM,0
CB0,DMG,4,9:30 AM,0
CB0,DBR,4,8:00 AM,0
CB0,BOD,5,9:30 AM,0
CB0,GRG,5,2:00 PM,0
CB0,WG,5,8:00 AM,0
CB0,LB,5,3:30 PM,0
CB0,DBR,5,11:00 AM,0
CB0,BDY,5,8:00 AM,0
CB0,2M,5,6:30 AM,0
CB0,LNR,5,5:00 PM,0
CB0,DMG,5,12:30 PM,0
CB0,ND,5,6:30 AM,0
CB0,DBR,6,2:00 PM,0
CB0,DMG,6,3:30 PM,0
CB0,2M,6,9:30 AM,0
CB0,BOD,6,12:30 PM,0
CB0,ND,6,9:30 AM,0
CB0,LNR,6,8:00 AM,0
CB0,WG,6,11:00 AM,0
CB0,LB,6,6:30 AM,0
CB0,BDY,6,11:00 AM,0
CB0,GRG,6,5:00 PM,0
CB0,DMG,7,6:30 AM,0
CB0,DBR,7,5:00 PM,0
CB0,GRG,7,8:00 AM,0
CB0,LNR,7,11:00 AM,0
CB0,2M,7,12:30 PM,0
CB0,BDY,7,2:00 PM,0
CB0,ND,7,12:30 PM,0
CB0,LB,7,9:30 AM,0
CB0,WG,7,2:00 PM,0
CB0,BOD,7,3:30 PM,0
CB0,LB,8,12:30 PM,0
CB0,2M,8,3:30 PM,0
CB0,BDY,8,5:00 PM,0
CB0,DMG,8,9:30 AM,0
CB0,LNR,8,2:00 PM,0
CB0,BOD,8,6:30 AM,0
CB0,WG,8,5:00 PM,0
CB0,DBR,8,8:00 AM,0
CB0,GRG,8,11:00 AM,0
CB0,ND,8,3:30 PM,0
CB0,DBR,9,11:00 AM,0
CB0,DMG,9,12:30 PM,0
CB0,2M,9,6:30 AM,0
CB0,ND,9,6:30 AM,0
CB0,LB,9,3:30 PM,0
CB0,BOD,9,9:30 AM,0
CB0,WG,9,8:00 AM,0
CB0,GRG,9,2:00 PM,0
CB0,LNR,9,5:00 PM,0
CB0,BDY,9,8:00 AM,0
CB0,ND,10,9:30 AM,0
CB0,BOD,10,12:30 PM,0
CB0,GRG,10,5:00 PM,0
CB0,DBR,10,2:00 PM,0
CB0,LNR,10,8:00 AM,0
CB0,LB,10,6:30 AM,0
CB0,BDY,10,11:00 AM,0
CB0,WG,10,11:00 AM,0
CB0,2M,10,9:30 AM,0
CB0,DMG,10,3:30 PM,0
