Bird,Song,Day,Time,Played
CB4-CB5,LB,1,6:30 AM,2018-05-02 18:04:16.613112
CB4-CB5,BOD,1,8:00 AM,0
CB4-CB5,BDY-,1,9:30 AM,0
CB4-CB5,LB-,1,11:00 AM,0
CB4-CB5,ND,1,12:30 PM,0
CB4-CB5,BDY,1,2:00 PM,0
CB4-CB5,LB,2,3:30 PM,0
CB4-CB5,BDY-,2,5:00 PM,0
CB4-CB5,LB-,2,6:30 AM,0
CB4-CB5,BDY,2,8:00 AM,0
CB4-CB5,BOD,2,9:30 AM,0
CB4-CB5,ND,2,11:00 AM,0
CB4-CB5,ND,3,12:30 PM,0
CB4-CB5,LB,3,2:00 PM,0
CB4-CB5,BDY-,3,3:30 PM,0
CB4-CB5,LB-,3,5:00 PM,0
CB4-CB5,BOD,3,6:30 AM,0
CB4-CB5,BDY,3,8:00 AM,0
CB4-CB5,ND,4,9:30 AM,0
CB4-CB5,LB,4,11:00 AM,0
CB4-CB5,BDY,4,12:30 PM,0
CB4-CB5,BOD,4,2:00 PM,0
CB4-CB5,BDY-,4,3:30 PM,0
CB4-CB5,LB-,4,5:00 PM,0
CB4-CB5,BDY-,5,6:30 AM,0
CB4-CB5,BOD,5,8:00 AM,0
CB4-CB5,LB-,5,9:30 AM,0
CB4-CB5,LB,5,11:00 AM,0
CB4-CB5,ND,5,12:30 PM,0
CB4-CB5,BDY,5,2:00 PM,0
CB4-CB5,BDY-,6,3:30 PM,0
CB4-CB5,BDY,6,5:00 PM,0
CB4-CB5,LB,6,6:30 AM,0
CB4-CB5,ND,6,8:00 AM,0
CB4-CB5,LB-,6,9:30 AM,0
CB4-CB5,BOD,6,11:00 AM,0
CB4-CB5,LB-,7,12:30 PM,0
CB4-CB5,BDY-,7,2:00 PM,0
CB4-CB5,BDY,7,3:30 PM,0
CB4-CB5,BOD,7,5:00 PM,0
CB4-CB5,LB,7,6:30 AM,0
CB4-CB5,ND,7,8:00 AM,0
CB4-CB5,LB,8,9:30 AM,0
CB4-CB5,BOD,8,11:00 AM,0
CB4-CB5,ND,8,12:30 PM,0
CB4-CB5,BDY,8,2:00 PM,0
CB4-CB5,BDY-,8,3:30 PM,0
CB4-CB5,LB-,8,5:00 PM,0
CB4-CB5,BOD,9,6:30 AM,0
CB4-CB5,ND,9,8:00 AM,0
CB4-CB5,LB,9,9:30 AM,0
CB4-CB5,BDY,9,11:00 AM,0
CB4-CB5,BDY-,9,12:30 PM,0
CB4-CB5,LB-,9,2:00 PM,0
CB4-CB5,LB,10,3:30 PM,0
CB4-CB5,BDY,10,5:00 PM,0
CB4-CB5,ND,10,6:30 AM,0
CB4-CB5,LB-,10,8:00 AM,0
CB4-CB5,BDY-,10,9:30 AM,0
CB4-CB5,BOD,10,11:00 AM,0
CB4-CB5,LB-,11,12:30 PM,0
CB4-CB5,ND,11,2:00 PM,0
CB4-CB5,BOD,11,3:30 PM,0
CB4-CB5,BDY,11,5:00 PM,0
CB4-CB5,LB,11,6:30 AM,0
CB4-CB5,BDY-,11,8:00 AM,0
CB4-CB5,BOD,12,9:30 AM,0
CB4-CB5,BDY-,12,11:00 AM,0
CB4-CB5,LB-,12,12:30 PM,0
CB4-CB5,ND,12,2:00 PM,0
CB4-CB5,BDY,12,3:30 PM,0
CB4-CB5,LB,12,5:00 PM,0
CB4-CB5,BDY,13,6:30 AM,0
CB4-CB5,ND,13,8:00 AM,0
CB4-CB5,LB,13,9:30 AM,0
CB4-CB5,LB-,13,11:00 AM,0
CB4-CB5,BDY-,13,12:30 PM,0
CB4-CB5,BOD,13,2:00 PM,0
CB4-CB5,ND,14,3:30 PM,0
CB4-CB5,LB-,14,5:00 PM,0
CB4-CB5,LB,14,6:30 AM,0
CB4-CB5,BDY,14,8:00 AM,0
CB4-CB5,BOD,14,9:30 AM,0
CB4-CB5,BDY-,14,11:00 AM,0
CB4-CB5,BDY-,15,12:30 PM,0
CB4-CB5,ND,15,2:00 PM,0
CB4-CB5,BOD,15,3:30 PM,0
CB4-CB5,BDY,15,5:00 PM,0
CB4-CB5,LB-,15,6:30 AM,0
CB4-CB5,LB,15,8:00 AM,0
CB4-CB5,LB-,16,9:30 AM,0
CB4-CB5,BDY-,16,11:00 AM,0
CB4-CB5,LB,16,12:30 PM,0
CB4-CB5,ND,16,2:00 PM,0
CB4-CB5,BOD,16,3:30 PM,0
CB4-CB5,BDY,16,5:00 PM,0
